param V1=20;
param COST_cm=0.00451414;
param COST_min=2000;
param K1=3;
param M=9000000;
param CV=100000;
param U=321;
param Dem:=
0 0
1 9
2 8
3 11
4 56
5 7
6 9
7 47
8 7
9 27
10 11
11 107
12 20
13 7
14 10
15 3
16 6
17 5
18 10
19 4
20 28
;

param a:=
0 0
1 0
2 0
3 1
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 155
12 96
13 371
14 297
15 368
16 237
17 209
18 175
19 139
20 291
;

param b:=
0 1440
1 547
2 513
3 529
4 549
5 552
6 557
7 561
8 579
9 521
10 523
11 903
12 870
13 1149
14 977
15 1103
16 913
17 937
18 880
19 848
20 1004
;

param s:=
1 35
2 43
3 32
4 42
5 38
6 33
7 41
8 35
9 34
10 30
11 31
12 30
13 37
14 30
15 40
16 40
17 32
18 39
19 42
20 40
;

param D:
 0	 1	 2	 3	 4	 5	 6	 7	 8	 9	 10	 11	 12	 13	 14	 15	 16	 17	 18	 19	 20	:=
0  .  5972175.979490 2840853.822357 2804922.301954 129487.991721 4374724.846205 2394190.585563 4577696.745089 4947047.559909 1523267.583191 10590060.680657 4761256.119975 1524538.700722 5207750.148577 483259.361006 4275283.828300 3259670.403584 485558.667928 5227622.329511 731407.246341 5028208.241511 
1 5972175.979490  .  4764701.087162 4743936.577359 6097965.960056 1605226.018354 4253078.185268 2008881.290669 1296254.161035 5508079.077138 16477869.548276 1227567.061305 5183870.501855 764644.871820 6245836.092950 2004192.128844 4987587.221292 6368249.198171 898177.515862 6685032.299847 944178.399456 
2 2840853.822357 4764701.087162  .  45612.717525 2896821.875780 3522722.276876 863514.238447 2815845.082742 3477719.344628 3781195.325555 12117780.573191 3844992.010395 3535354.026120 4113984.882082 3322064.696841 2761396.417561 494133.767314 2895725.819203 4376488.549054 3215010.550527 3965460.578546 
3 2804922.301954 4743936.577359 45612.717525  .  2862068.080951 3492615.094739 819194.970688 2800802.451084 3458583.785309 3737522.876184 12117344.366651 3816937.515863 3490927.580171 4089642.626196 3285708.266112 2740089.952049 539684.000133 2865041.797252 4348871.635264 3185684.039575 3940166.174161 
4 129487.991721 6097965.960056 2896821.875780 2862068.080951  .  4501416.126065 2480618.572050 4690536.963931 5067137.229245 1607459.389845 10460638.957540 4888120.802517 1627880.305796 5333650.274437 458389.888632 4392045.423413 3305145.467298 369605.735886 5355649.671142 601920.011297 5154122.119236 
5 4374724.846205 1605226.018354 3522722.276876 3492615.094739 4501416.126065  .  2859689.192902 1389212.024854 1001741.723200 3935153.268934 14914988.142805 387816.709284 3604950.836003 843370.648055 4640999.863176 1050132.694339 3849485.173371 4781036.216136 898439.369128 5092588.092512 665848.331078 
6 2394190.585563 4253078.185268 863514.238447 819194.970688 2480618.572050 2859689.192902  .  2454660.516243 3017367.892717 3063817.607169 12335823.738202 3214021.991213 2787831.165978 3545932.753169 2848023.660365 2281635.178840 1344722.610801 2585296.752793 3747101.453123 2925820.226877 3382308.968737 
7 4577696.745089 2008881.290669 2815845.082742 2800802.451084 4690536.963931 1389212.024854 2454660.516243  .  725710.031624 4593843.902442 14790321.104357 1477065.106893 4255665.205347 1504478.015792 4949996.389898 420327.000941 2994379.276244 4888076.448870 1901634.131477 5226199.484329 1417626.837359 
8 4947047.559909 1296254.161035 3477719.344628 3458583.785309 5067137.229245 1001741.723200 3017367.892717 725710.031624  .  4745131.350131 15323736.806014 910279.275827 4407312.969373 801049.368017 5276544.908366 735933.283199 3691452.248100 5301302.830437 1229915.322288 5631591.693296 750449.571923 
9 1523267.583191 5508079.077138 3781195.325555 3737522.876184 1607459.389845 3935153.268934 3063817.607169 4593843.902442 4745131.350131  .  11569133.582512 4289467.478604 339063.681334 4767019.121002 1327385.467752 4210170.164699 4263170.868028 1963782.790942 4656474.401304 2060102.795979 4594918.960112 
10 10590060.680657 16477869.548276 12117780.573191 12117344.366651 10460638.957540 14914988.142805 12335823.738202 14790321.104357 15323736.806014 11569133.582512  .  15302469.856203 11793805.533839 15723075.768119 10430238.281554 14595989.403851 12160446.427660 10150651.456926 15792330.417009 9858976.909396 15545534.798777 
11 4761256.119975 1227567.061305 3844992.010395 3816937.515863 4888120.802517 387816.709284 3214021.991213 1477065.106893 910279.275827 4289467.478604 15302469.856203  .  3962524.408758 478407.869919 5023378.091484 1222332.971870 4148799.462495 5168723.797999 534020.317966 5479854.136745 314920.497904 
12 1524538.700722 5183870.501855 3535354.026120 3490927.580171 1627880.305796 3604950.836003 2787831.165978 4255665.205347 4407312.969373 339063.681334 11793805.533839 3962524.408758  .  4439395.292154 1435076.708751 3871278.145073 4023056.734624 1996311.841872 4338823.454578 2144827.407975 4266355.982569 
13 5207750.148577 764644.871820 4113984.882082 4089642.626196 5333650.274437 843370.648055 3545932.753169 1504478.015792 801049.368017 4767019.121002 15723075.768119 478407.869919 4439395.292154  .  5481991.948188 1375558.844877 4377692.228789 5605606.444445 452437.410036 5921392.495858 179551.246167 
14 483259.361006 6245836.092950 3322064.696841 3285708.266112 458389.888632 4640999.863176 2848023.660365 4949996.389898 5276544.908366 1327385.467752 10430238.281554 5023378.091484 1435076.708751 5481991.948188  .  4628064.298832 3742891.824512 708936.252423 5467228.055423 734462.504148 5302826.288877 
15 4275283.828300 2004192.128844 2761396.417561 2740089.952049 4392045.423413 1050132.694339 2281635.178840 420327.000941 735933.283199 4210170.164699 14595989.403851 1222332.971870 3871278.145073 1375558.844877 4628064.298832  .  3004744.645343 4609712.977759 1709306.595471 4943993.569709 1248033.533091 
16 3259670.403584 4987587.221292 494133.767314 539684.000133 3305145.467298 3849485.173371 1344722.610801 2994379.276244 3691452.248100 4263170.868028 12160446.427660 4148799.462495 4023056.734624 4377692.228789 3742891.824512 3004744.645343  .  3267893.866086 4673247.406248 3572939.364165 4239911.992011 
17 485558.667928 6368249.198171 2895725.819203 2865041.797252 369605.735886 4781036.216136 2585296.752793 4888076.448870 5301302.830437 1963782.790942 10150651.456926 5168723.797999 1996311.841872 5605606.444445 708936.252423 4609712.977759 3267893.866086  .  5647267.038134 341727.523036 5426406.378074 
18 5227622.329511 898177.515862 4376488.549054 4348871.635264 5355649.671142 898439.369128 3747101.453123 1901634.131477 1229915.322288 4656474.401304 15792330.417009 534020.317966 4338823.454578 452437.410036 5467228.055423 1709306.595471 4673247.406248 5647267.038134  .  5951907.904193 485182.625410 
19 731407.246341 6685032.299847 3215010.550527 3185684.039575 601920.011297 5092588.092512 2925820.226877 5226199.484329 5631591.693296 2060102.795979 9858976.909396 5479854.136745 2144827.407975 5921392.495858 734462.504148 4943993.569709 3572939.364165 341727.523036 5951907.904193  .  5741981.152877 
20 5028208.241511 944178.399456 3965460.578546 3940166.174161 5154122.119236 665848.331078 3382308.968737 1417626.837359 750449.571923 4594918.960112 15545534.798777 314920.497904 4266355.982569 179551.246167 5302826.288877 1248033.533091 4239911.992011 5426406.378074 485182.625410 5741981.152877  .  
;

param t:
 0	 1	 2	 3	 4	 5	 6	 7	 8	 9	 10	 11	 12	 13	 14	 15	 16	 17	 18	 19	 20	:=
