param V1=15;
param COST_cm=0.00451414;
param COST_min=2000;
param K1=3;
param M=9000000;
param CV=100000;
param U=174;
param Dem:=
0 0
1 19
2 28
3 3
4 3
5 10
6 8
7 22
8 10
9 10
10 5
11 58
12 9
13 5
14 6
15 7
;

param a:=
0 0
1 11
2 1
3 5
4 3
5 7
6 9
7 11
8 3
9 126
10 334
11 302
12 135
13 132
14 310
15 171
;

param b:=
0 1440
1 586
2 555
3 595
4 589
5 519
6 533
7 547
8 592
9 807
10 1055
11 1068
12 810
13 837
14 1087
15 902
;

param s:=
1 32
2 36
3 38
4 36
5 44
6 39
7 43
8 42
9 38
10 40
11 34
12 41
13 43
14 44
15 44
;

param D:
 0	 1	 2	 3	 4	 5	 6	 7	 8	 9	 10	 11	 12	 13	 14	 15	:=
0  .  5978821.346219 4861378.850697 5672283.639770 4853968.647601 2889170.406882 4222364.894227 1093432.014347 2323191.769958 712190.318665 4638618.501235 5288259.753454 5356899.484777 4235088.278891 11435264.965011 5636515.804999 
1 5978821.346219  .  1191250.788038 11487308.213851 1125815.381889 5051668.113604 1775917.681088 5532871.733558 4384858.242863 6033805.939869 1649029.475176 2810018.144070 3871713.184109 2135984.012112 17367614.420236 648344.391508 
2 4861378.850697 1191250.788038  .  10445790.656528 330080.552741 4328286.761526 865023.982327 4357250.419703 3510567.818744 4871835.333835 1247872.593657 2863014.769434 3843213.543377 1585324.452596 16286447.996110 1185130.427421 
3 5672283.639770 11487308.213851 10445790.656528  .  10386525.766304 6931858.461481 9712998.332647 6528177.205009 7201756.647513 5933568.076630 9969763.046833 10042028.429058 9614344.958446 9500283.032626 5945899.566088 11047516.528614 
4 4853968.647601 1125815.381889 330080.552741 10386525.766304  .  4127167.749571 689012.372529 4420191.247910 3359384.673523 4912529.497041 931769.212143 2534213.802168 3520787.195230 1306308.813603 16253301.751050 951496.370302 
5 2889170.406882 5051668.113604 4328286.761526 6931858.461481 4127167.749571  .  3464514.595149 3544023.189823 1046542.211284 3516202.390364 3403989.923604 3114845.745779 2758038.116125 2915684.182143 12871562.038074 4481488.246108 
6 4222364.894227 1775917.681088 865023.982327 9712998.332647 689012.372529 3464514.595149  .  3870620.292666 2672055.826513 4330979.040587 711620.081223 2309671.578385 3185593.936772 817438.542032 15592230.758939 1429405.764645 
7 1093432.014347 5532871.733558 4357250.419703 6528177.205009 4420191.247910 3544023.189823 3870620.292666  .  2717396.734008 594793.695326 4415463.351677 5382932.774055 5659442.916047 4093260.885895 12135808.606352 5296013.852890 
8 2323191.769958 4384858.242863 3510567.818744 7201756.647513 3359384.673523 1046542.211284 2672055.826513 2717396.734008  .  2825680.096897 2790528.265401 3025895.877257 3035209.094939 2309372.523003 13136972.001949 3882530.383654 
9 712190.318665 6033805.939869 4871835.333835 5933568.076630 4912529.497041 3516202.390364 4330979.040587 594793.695326 2825680.096897  .  4831271.096720 5668529.217531 5844536.534234 4473923.953310 11553328.587468 5760374.714374 
10 4638618.501235 1649029.475176 1247872.593657 9969763.046833 931769.212143 3403989.923604 711620.081223 4415463.351677 2790528.265401 4831271.096720  .  1646109.188359 2597194.842518 490881.910443 15887606.332610 1094208.289130 
11 5288259.753454 2810018.144070 2863014.769434 10042028.429058 2534213.802168 3114845.745779 2309671.578385 5382932.774055 3025895.877257 5668529.217531 1646109.188359  .  1062290.341667 1559045.262332 15984669.001265 2167482.936496 
12 5356899.484777 3871713.184109 3843213.543377 9614344.958446 3520787.195230 2758038.116125 3185593.936772 5659442.916047 3035209.094939 5844536.534234 2597194.842518 1062290.341667  .  2374561.348965 15523855.785532 3227800.961955 
13 4235088.278891 2135984.012112 1585324.452596 9500283.032626 1306308.813603 2915684.182143 817438.542032 4093260.885895 2309372.523003 4473923.953310 490881.910443 1559045.262332 2374561.348965  .  15424847.460186 1583179.260223 
14 11435264.965011 17367614.420236 16286447.996110 5945899.566088 16253301.751050 12871562.038074 15592230.758939 12135808.606352 13136972.001949 11553328.587468 15887606.332610 15984669.001265 15523855.785532 15424847.460186  .  16955132.379312 
15 5636515.804999 648344.391508 1185130.427421 11047516.528614 951496.370302 4481488.246108 1429405.764645 5296013.852890 3882530.383654 5760374.714374 1094208.289130 2167482.936496 3227800.961955 1583179.260223 16955132.379312  .  
;

param t:
 0	 1	 2	 3	 4	 5	 6	 7	 8	 9	 10	 11	 12	 13	 14	 15	:=
0  .  71.745856 58.336546 68.067404 58.247624 34.670045 50.668379 13.121184 27.878301 8.546284 55.663422 63.459117 64.282794 50.821059 137.223180 67.638190 
1 71.745856  .  14.295009 137.847699 13.509785 60.620017 21.311012 66.394461 52.618299 72.405671 19.788354 33.720218 46.460558 25.631808 208.411373 7.780133 
2 58.336546 14.295009  .  125.349488 3.960967 51.939441 10.380288 52.287005 42.126814 58.462024 14.974471 34.356177 46.118563 19.023893 195.437376 14.221565 
3 68.067404 137.847699 125.349488  .  124.638309 83.182302 116.555980 78.338126 86.421080 71.202817 119.637157 120.504341 115.372140 114.003396 71.350795 132.570198 
4 58.247624 13.509785 3.960967 124.638309  .  49.526013 8.268148 53.042295 40.312616 58.950354 11.181231 30.410566 42.249446 15.675706 195.039621 11.417956 
5 34.670045 60.620017 51.939441 83.182302 49.526013  .  41.574175 42.528278 12.558507 42.194429 40.847879 37.378149 33.096457 34.988210 154.458744 53.777859 
6 50.668379 21.311012 10.380288 116.555980 8.268148 41.574175  .  46.447444 32.064670 51.971748 8.539441 27.716059 38.227127 9.809263 187.106769 17.152869 
7 13.121184 66.394461 52.287005 78.338126 53.042295 42.528278 46.447444  .  32.608761 7.137524 52.985560 64.595193 67.913315 49.119131 145.629703 63.552166 
8 27.878301 52.618299 42.126814 86.421080 40.312616 12.558507 32.064670 32.608761  .  33.908161 33.486339 36.310751 36.422509 27.712470 157.643664 46.590365 
9 8.546284 72.405671 58.462024 71.202817 58.950354 42.194429 51.971748 7.137524 33.908161  .  57.975253 68.022351 70.134438 53.687087 138.639943 69.124497 
10 55.663422 19.788354 14.974471 119.637157 11.181231 40.847879 8.539441 52.985560 33.486339 57.975253  .  19.753310 31.166338 5.890583 190.651276 13.130499 
11 63.459117 33.720218 34.356177 120.504341 30.410566 37.378149 27.716059 64.595193 36.310751 68.022351 19.753310  .  12.747484 18.708543 191.816028 26.009795 
12 64.282794 46.460558 46.118563 115.372140 42.249446 33.096457 38.227127 67.913315 36.422509 70.134438 31.166338 12.747484  .  28.494736 186.286269 38.733612 
13 50.821059 25.631808 19.023893 114.003396 15.675706 34.988210 9.809263 49.119131 27.712470 53.687087 5.890583 18.708543 28.494736  .  185.098170 18.998151 
14 137.223180 208.411373 195.437376 71.350795 195.039621 154.458744 187.106769 145.629703 157.643664 138.639943 190.651276 191.816028 186.286269 185.098170  .  203.461589 
15 67.638190 7.780133 14.221565 132.570198 11.417956 53.777859 17.152869 63.552166 46.590365 69.124497 13.130499 26.009795 38.733612 18.998151 203.461589  .  
;

