param V1=30;
param COST_cm=0.00451414;
param COST_min=2000;
param K1=3;
param M=9000000;
param CV=100000;
param U=174;
param Dem:=
0 0
1 6
2 3
3 1
4 8
5 25
6 3
7 4
8 9
9 2
10 58
11 3
12 19
13 38
14 2
15 1
16 7
17 3
18 6
19 7
20 7
21 3
22 10
23 8
24 3
25 14
26 7
27 9
28 2
29 3
30 12
;

param a:=
0 0
1 15
2 5
3 7
4 8
5 3
6 10
7 1
8 12
9 16
10 9
11 14
12 19
13 2
14 12
15 9
16 347
17 231
18 110
19 274
20 348
21 224
22 331
23 284
24 372
25 197
26 184
27 93
28 288
29 94
30 288
;

param b:=
0 1440
1 515
2 507
3 551
4 559
5 595
6 513
7 522
8 502
9 612
10 591
11 614
12 615
13 532
14 519
15 542
16 1048
17 1009
18 774
19 935
20 1024
21 919
22 1100
23 949
24 1096
25 863
26 893
27 845
28 1044
29 764
30 951
;

param s:=
1 32
2 36
3 44
4 40
5 31
6 44
7 37
8 45
9 33
10 34
11 43
12 31
13 34
14 41
15 31
16 36
17 36
18 45
19 36
20 32
21 39
22 41
23 42
24 38
25 33
26 45
27 41
28 40
29 32
30 40
;

param D:
 0	 1	 2	 3	 4	 5	 6	 7	 8	 9	 10	 11	 12	 13	 14	 15	 16	 17	 18	 19	 20	 21	 22	 23	 24	 25	 26	 27	 28	 29	 30	:=
0  .  5146325.641659 4853968.647601 1938200.820349 4624654.711435 2468797.028919 6189233.007409 5168434.935258 6354625.307601 1756436.269837 5288259.753454 11560509.963233 4473948.003721 6527299.212098 3220038.484256 10256584.888256 4040894.814271 2161341.178528 6065932.314987 5019470.052705 5078012.721528 2370614.536360 4632913.473183 9990278.874986 10974388.220762 6081996.950016 3977701.603942 2190160.332031 1977081.542697 3682596.954596 5393901.071581 
1 5146325.641659  .  428720.198379 4229088.342657 661917.585504 3176285.393349 1727180.896722 630822.835668 1241931.612449 4527457.328347 2256806.595612 16645363.468546 679279.949653 1418402.332577 1954813.623825 15328721.165185 1407694.984718 3257768.616707 1134082.369143 2329377.599274 1282334.172515 3882886.535813 572560.791532 15046459.937474 16028539.072854 1126656.083284 1175772.648091 3068390.087652 3637620.430896 2338267.777651 692110.468061 
