param V1=30;
param COST_cm=0.00451414;
param COST_min=2000;
param K1=3;
param M=9000000;
param CV=100000;
param U=174;
param Dem:=
0 0
1 13
2 2
3 10
4 58
5 2
6 28
7 2
8 28
9 4
10 19
11 5
12 19
13 20
14 10
15 14
16 4
17 10
18 6
19 2
20 6
21 15
22 10
23 3
24 32
25 1
26 25
27 9
28 9
29 21
30 7
;

param a:=
0 0
1 4
2 5
3 4
4 0
5 2
6 8
7 8
8 2
9 6
10 4
11 5
12 10
13 3
14 6
15 5
16 247
17 293
18 371
19 212
20 407
21 200
22 93
23 109
24 65
25 350
26 383
27 135
28 151
29 212
30 310
;

param b:=
0 1440
1 557
2 525
3 589
4 595
5 524
6 566
7 537
8 506
9 556
10 604
11 570
12 546
13 512
14 535
15 546
16 1001
17 1049
18 1054
19 894
20 1159
21 911
22 788
23 872
24 778
25 1023
26 1072
27 875
28 885
29 911
30 1037
;

param s:=
1 43
2 44
3 42
4 33
5 32
6 39
7 31
8 31
9 30
10 42
11 31
12 30
13 34
14 30
15 30
16 30
17 33
18 45
19 45
20 32
21 31
22 36
23 33
24 30
25 43
26 43
27 35
28 37
29 40
30 44
;

param D:
 0	 1	 2	 3	 4	 5	 6	 7	 8	 9	 10	 11	 12	 13	 14	 15	 16	 17	 18	 19	 20	 21	 22	 23	 24	 25	 26	 27	 28	 29	 30	:=
0  .  5927733.729681 11900755.539881 5134853.027108 2099401.050300 2045634.576360 5394276.123819 9938620.560722 4231112.666900 2557382.978750 3588025.653476 896455.023969 1672221.809450 4248804.335340 3933755.153794 5299828.149101 12093947.933161 4097687.295292 4927612.347781 6203096.666182 4601540.304072 4112717.725544 6322188.510318 2055345.462447 704693.436893 5039176.903321 3358725.890870 5972175.979490 4842395.808895 10761584.430278 4054110.657099 
1 5927733.729681  .  17825685.217966 3371045.950443 4170054.256242 4440796.970139 533500.599812 15861845.544576 2346490.002110 4815089.308621 2543682.944079 6772023.538057 5084153.417237 2331424.442267 2257864.566355 3310553.367641 18015409.609554 2323981.604919 1049328.480506 522938.944811 1357519.981437 2059957.941318 804805.945555 4601119.944101 5588540.576036 889526.230285 3196951.110042 698185.090073 1693712.047545 16670944.672093 2037264.904228 
