param V1=30;
param COST_cm=0.00451414;
param COST_min=2000;
param K1=3;
param M=9000000;
param CV=100000;
param U=273;
param Dem:=
0 0
1 16
2 6
3 16
4 6
5 9
6 4
7 6
8 6
9 12
10 15
11 8
12 4
13 8
14 1
15 14
16 15
17 91
18 15
19 12
20 1
21 6
22 2
23 2
24 12
25 16
26 10
27 8
28 3
29 12
30 15
;

param a:=
0 0
1 12
2 4
3 5
4 10
5 18
6 0
7 5
8 10
9 10
10 4
11 15
12 11
13 12
14 15
15 18
16 238
17 74
18 296
19 125
20 119
21 267
22 96
23 239
24 161
25 73
26 61
27 222
28 290
29 312
30 85
;

param b:=
0 1440
1 583
2 591
3 549
4 498
5 522
6 515
7 528
8 551
9 551
10 600
11 520
12 532
13 563
14 521
15 582
16 943
17 766
18 969
19 800
20 894
21 984
22 805
23 1002
24 917
25 817
26 833
27 919
28 1051
29 983
30 745
;

param s:=
1 36
2 36
3 33
4 45
5 30
6 30
7 37
8 35
9 40
10 30
11 35
12 40
13 36
14 36
15 32
16 39
17 42
18 43
19 39
20 39
21 40
22 34
23 36
24 40
25 34
26 38
27 37
28 45
29 30
30 31
;

param D:
 0	 1	 2	 3	 4	 5	 6	 7	 8	 9	 10	 11	 12	 13	 14	 15	 16	 17	 18	 19	 20	 21	 22	 23	 24	 25	 26	 27	 28	 29	 30	:=
0  .  5836119.248268 4154591.307217 4047022.269521 6065932.314987 4225744.963909 2557382.978750 3760147.457215 9859896.308785 5748304.846648 2682542.191653 1523829.245683 4121897.117833 3879360.964128 4973605.623690 2007753.084919 6251153.897482 2148384.772335 6374251.079146 1966345.658830 4387905.060504 5162877.024489 6459595.743543 3753803.985293 5393901.071581 4685477.628802 4105364.876597 11641678.210636 3313633.167688 5403279.242275 3082015.614821 
1 5836119.248268  .  1905150.453376 1846666.534597 1039156.220209 1802035.787658 4285377.007919 2662769.013640 15566636.148507 762317.735593 4389749.825446 5349760.403046 1756647.377819 1957424.545161 1111754.874062 4155963.311917 1016444.238510 3875644.128400 1131118.817808 4250933.536295 1495903.639945 2299301.730961 1085783.795237 2685931.138358 1072794.132161 1420677.137847 1797318.906038 17373383.976647 2534717.966560 3041657.858800 2811193.442295 
