param V1=30;
param COST_cm=0.00451414;
param COST_min=2000;
param K1=4;
param M=9000000;
param CV=100000;
param U=165;
param Dem:=
0 0
1 2
2 16
3 5
4 2
5 3
6 19
7 45
8 8
9 3
10 2
11 14
12 4
13 31
14 6
15 3
16 3
17 10
18 1
19 55
20 2
21 26
22 7
23 7
24 17
25 6
26 1
27 5
28 4
29 12
30 22
;

param a:=
0 0
1 1
2 1
3 0
4 0
5 0
6 1
7 1
8 0
9 0
10 1
11 0
12 0
13 0
14 0
15 1
16 105
17 353
18 319
19 271
20 103
21 408
22 56
23 337
24 226
25 386
26 246
27 261
28 92
29 51
30 80
;

param b:=
0 1440
1 490
2 502
3 590
4 600
5 494
6 521
7 530
8 490
9 563
10 577
11 598
12 594
13 521
14 568
15 531
16 804
17 1126
18 1075
19 1049
20 788
21 1165
22 743
23 1076
24 949
25 1161
26 1021
27 1007
28 805
29 765
30 797
;

param s:=
1 30
2 33
3 37
4 45
5 39
6 37
7 31
8 41
9 31
10 35
11 45
12 37
13 44
14 32
15 34
16 33
17 38
18 33
19 30
20 30
21 44
22 33
23 34
24 31
25 39
26 40
27 37
28 37
29 40
30 39
;

param D:
 0	 1	 2	 3	 4	 5	 6	 7	 8	 9	 10	 11	 12	 13	 14	 15	 16	 17	 18	 19	 20	 21	 22	 23	 24	 25	 26	 27	 28	 29	 30	:=
0  .  5996033.932526 4640264.061452 7520711.140190 6332496.286616 3082746.960099 4439673.053278 10915895.967350 1780823.834634 1235818.048905 10366880.535897 5385267.745433 148900.839487 2695215.503443 11522330.042574 4280144.582838 4021587.777234 4105364.876597 2816308.221768 2748149.488292 2814158.463911 3614213.510572 4996596.510626 4339771.732476 4841580.572499 5232243.230203 2085801.280084 3967478.137306 11111258.012034 5748304.846648 999998.019998 
1 5996033.932526  .  2862756.636531 6488201.760841 738370.327139 4837045.993166 1558930.562918 16828157.733097 4509884.469695 5751094.654933 16273128.475458 959896.124588 6143822.772509 4389665.819855 17426667.581899 1719887.917860 2047046.899805 1904204.855051 4421825.727005 4455751.048925 3394245.026512 2404530.594524 1126921.723102 1656942.053905 2854580.389479 2662760.360979 8078475.654478 2080331.389467 17028514.732941 517816.965732 5572501.011216 
